Kategorie,Dovednost,Úroveň,Popis dovednosti (Důkazy a úspěchy)
1. Projektové řízení & Strategie,Řízení E-commerce projektů (End-to-End),Expert,Dokázal jsem řídit projekty od prvotního nápadu až po spuštění a následný servis. Příkladem je vybudování e-commerce oddělení od nuly až po tým 6 lidí a plnohodnotnou infrastrukturu.
1. Projektové řízení & Strategie,Strategické plánování (Roadmapy),Senior,"Nastavil jsem dlouhodobou strategii rozvoje e-shopu, kde jsem místo revolučních změn aplikoval evoluční vývoj, což zajistilo stabilitu a trvalý růst tržeb (znásobení obratu během 4 let)."
1. Projektové řízení & Strategie,Crisis Management (Hašení požárů),Senior,"Dokážu efektivně řešit kritické situace při výpadcích nebo chybách v integracích. Mám praxi s okamžitou prioritizací oprav tak, aby byznys běžel dál."
1. Projektové řízení & Strategie,Rozpočtování a ROI,Pokročilý,"Mám zkušenost s obhajobou investic u majitelů firem. Dokázal jsem argumentovat daty, proč investovat do nových technologií (např. konfigurátor) a jaká bude návratnost."
2. E-commerce & Business Growth,Dramatický růst tržeb (Scaling),Expert,"V minulém působišti jsem řídil e-shop, kde se roční tržba z roku 2015 stala pouhou měsíční marží v roce 2019. Vím, jak technicky připravit e-shop na takový růst."
2. E-commerce & Business Growth,B2B portály a procesy,Senior,"Navrhl a zrealizoval jsem B2B nástroje pro řemeslníky (aplikace ColMACHR), které jim usnadnily tvorbu rozpočtů a zvýšily jejich loajalitu k firmě."
2. E-commerce & Business Growth,Optimalizace konverzního poměru (CRO),Pokročilý,"Implementoval jsem pokročilé konfigurátory a kalkulátory přímo do nákupního procesu, což výrazně zvýšilo přidanou hodnotu pro zákazníka a konverze."
2. E-commerce & Business Growth,E-commerce logistika,Pokročilý,"Chápu e-shop jako celek včetně skladu. Řešil jsem toky objednávek tak, aby expedice stíhala i při násobném růstu objemu."
"3. ERP, WMS & Podnikové systémy","Datové migrace (ERP, CRM)",Expert,Byl jsem klíčovou osobou při migraci z Navision na Microsoft Dynamics 365 Business Central. Řešil jsem datovou integritu a napojení na e-shop pro 10 poboček.
"3. ERP, WMS & Podnikové systémy",Implementace WMS,Senior,"Spolupracoval jsem na zavádění skladového hospodářství. Rozumím logice skladových pozic, čárových kódů a automatizaci expedice."
"3. ERP, WMS & Podnikové systémy",CRM integrace,Pokročilý,Rozšířil jsem ERP o CRM modul pro lepší práci se zákazníky. Dokázal jsem propojit obchodní data s e-shopovou historií zákazníka.
"3. ERP, WMS & Podnikové systémy","Znalost trhu ERP (Pohoda, K2, ABRA...)",Pokročilý,"Mám přehled o funkcionalitách většiny českých ERP systémů (Pohoda, Odoo, ABRA), což mi umožňuje rychle pochopit specifika jakékoli integrace."
"3. ERP, WMS & Podnikové systémy",Účetní a procesní přesah,Pokročilý,"Díky vedení vlastní firmy rozumím účetním souvislostem (fakturace, DPH, marže) a vím, jak je správně propsat do IT systémů."
"4. Data, SQL & Reporting",SQL & Databázové dotazy,Pokročilý,"Dokážu psát vlastní SQL dotazy (MSSQL) pro získání dat, která standardní reporty neumí. Nečekám na programátora, data si vytáhnu sám."
"4. Data, SQL & Reporting",Pokročilá práce s Excelem (Google sheets),Expert,"Mám stovky hodin praxe v Excelu. Dokážu zpracovat obrovské datové sety, čistit data před importem a tvořit složité analytické modely."
"4. Data, SQL & Reporting",Vizualizace dat (Looker studio / PowerBI),Pokročilý,"Umím napojit data z BigQuery nebo SQL do Looker Studia a vytvořit přehledné dashboardy pro vedení firmy, kde jsou vidět reálné výsledky v čase."
"4. Data, SQL & Reporting",Práce s produktovými feedy,Expert,Strávil jsem stovky hodin v nástrojích jako Mergado. Umím optimalizovat XML a CSV feedy pro srovnávače i pro interní datové přenosy.
"4. Data, SQL & Reporting",Datová migrace a čištění,Senior,"Při přechodu na nové systémy jsem zodpovídal za migraci kmenových dat produktů a zákazníků. Vím, jak zajistit, aby se data „cestou neztratila“."
"5. AI, Automatizace & Inovace",Tvorba AI Agentů,Pokročilý,Aktivně vytvářím AI agenty (lokální i cloudové) pro automatizaci rutinních úkolů. Využívám nástroje jako Google Vertex AI či OpenAI API.
"5. AI, Automatizace & Inovace",Open Source LLMs,Nadšenec,Provozuji lokální AI modely (pomocí Ollama/LM Studio) pro bezpečné zpracování citlivých firemních dat bez nutnosti posílat je do cloudu.
"5. AI, Automatizace & Inovace",Workflow Automatizace,Pokročilý,"Umím stavět komplexní automatizační scénáře v n8n (self-hosted) nebo Make/Zapier. Propojuji systémy, které spolu standardně nekomunikují."
"5. AI, Automatizace & Inovace",Sledování technologických trendů,Nadšenec,"Denně sleduji novinky (Medium, GitHub), testuji nové nástroje a okamžitě vyhodnocuji jejich přínos pro firmu (např. Luigi’s Box, AI search)."
"6. API, Integrace & Vývoj",Testování a správa API,Senior,"Můj Postman obsahoval přes 300 kolekcí. Dokážu samostatně otestovat API endpointy, debugovat chyby v komunikaci a navrhnout strukturu JSON dat."
"6. API, Integrace & Vývoj",Návrh integrační architektury,Senior,"Dokážu navrhnout, jak mají téct data mezi e-shopem, ERP, logistikou a platební bránou, aby systém byl robustní a odolný proti chybám."
"6. API, Integrace & Vývoj",Základy vývoje ve většině jazyků,Střední,"Rozumím kódu. Dokážu si sám upravit frontend (HTML/CSS) nebo přečíst PHP skript, abych pochopil logiku, aniž bych musel volat vývojáře na každou drobnost."
"6. API, Integrace & Vývoj",Verzování a repozitáře (GitHub),Uživatel,Mám na GitHubu přes 120 repozitářů s vlastními pokusy a nástroji. Chápu principy verzování a spolupráce na kódu.
"6. API, Integrace & Vývoj",Cloudové služby (Google Cloud),Pokročilý,Mám praktickou zkušenost s nastavením služeb v Google Cloud Platform (zejména pro AI a data) a přechodem na cloudová řešení (Office 365).
7. Produktový management,Projektové řízení vývoje aplikací,Expert,Navrhl jsem a řídil vývoj unikátního konfigurátoru střech („Booking pro střechy“). Vymyslel jsem logiku výpočtu spotřeby materiálu „do posledního šroubku“.
7. Produktový management,UX a zákaznická cesta,Senior,Při návrhu aplikací vždy vycházím z potřeb uživatele (např. řemeslníků). Dokázal jsem zjednodušit složité technické procesy do uživatelsky přívětivého rozhraní.
7. Produktový management,Prototypování a MVP,Pokročilý,"Nečekám na dokonalost. Dokážu navrhnout a spustit MVP (Minimum Viable Product), ověřit ho na trhu a následně ladit na základě dat."
7. Produktový management,Analýza konkurence,Senior,"Pravidelně monitoruji trh a konkurenci (Czech Online Expo, analýza webů), abychom byli technologicky o krok napřed."
8. Leadership & Soft Skills,Vedení a budování týmu,Senior,Vybudoval jsem funkční tým z nuly. Místo direktivního řízení preferuji partnerství a rozvoj samostatnosti kolegů (můj nástupce byl můj žák).
8. Leadership & Soft Skills,Přemosťování komunikace (Bridge),Expert,Funguji jako tlumočník mezi techniky a managementem. Dokážu vysvětlit složité IT problémy srozumitelnou řečí a naopak přenést byznys vizi do technického zadání.
8. Leadership & Soft Skills,Mentoring a předávání know-how,Senior,"Úspěšně jsem zaškolil svého nástupce a předal mu kompletní agendu včetně e-commerce procesů. Věřím ve sdílení znalostí, ne jejich tajení."
8. Leadership & Soft Skills,Proaktivita a Ownership,Expert,"„Nehledám místo, hledám projekt.“ Beru práci jako své vlastní podnikání. Když vidím problém, navrhnu řešení a zrealizuji ho."
8. Leadership & Soft Skills,Adaptabilita a učení se,Expert,"Jsem samouk, který se vypracoval z recepčního na IT Leadera. Rychle se učím nové technologie (AI, nové ERP) a okamžitě je aplikuji v praxi."
9. Marketing & Analytika,Website & Apps analytics,Pokročilý,"Dokážu nastavit měření, definovat eventy a analyzovat chování zákazníků. Data z GA4 propojuji s byznysovými daty."
9. Marketing & Analytika,SEO a Technické SEO,Pokročilý,"Při redesignu webů jsem hlídal technické SEO (redirecty, rychlost, struktura), aby neutrpěla organická návštěvnost."
9. Marketing & Analytika,Online Marketing Strategies,Senior,"Mám background v marketingu (hotelnictví, e-shop). Chápu, jak funguje PPC, social media i e-mail marketing a jak je technicky podpořit."
9. Marketing & Analytika,Personalizace a doporučování,Pokročilý,"Rozumím principům nástrojů jako Luigi’s Box. Vím, jak nastavit vyhledávání a doporučování produktů pro zvýšení průměrné objednávky."
9. Marketing & Analytika,B2B Marketing,Senior,"Vytvořil jsem strategie pro aktivaci B2B partnerů (řemeslníků) pomocí digitálních nástrojů, nikoliv jen letáků."
10. Procesy & Logistika (Operations),Optimalizace firemních procesů,Senior,"Vždy hledám cestu, jak věci zjednodušit. Analyzoval jsem procesy ve firmě a nahradil manuální přepisování dat automatizací."
10. Procesy & Logistika (Operations),Cross-department spolupráce,Senior,"Dokázal jsem propojit požadavky logistiky, obchodu a marketingu do jednoho funkčního celku. Chápu, že IT musí sloužit firmě, ne naopak."
10. Procesy & Logistika (Operations),Change Management,Pokročilý,"Prováděl jsem firmu velkými změnami (nové ERP, cloud). Vím, že technologie je jen půlka úspěchu, druhá půlka je práce s lidmi, aby změnu přijali."
10. Procesy & Logistika (Operations),Facility & Hardware management,Pokročilý,Mám zkušenost s přechodem z lokálních serverů na cloud. Rozumím potřebám hardwarového vybavení pro efektivní práci týmu.
10. Procesy & Logistika (Operations),Zákaznický servis (Procesy),Senior,"Z hotelnictví mám v krvi orientaci na zákazníka (""Customer First""). E-commerce systémy stavím tak, aby primárně sloužily spokojenosti klienta."
11. Osobní & Specifické,Práce s citlivými daty (GDPR/Security),Pokročilý,"Při práci s AI a databázemi kladu důraz na bezpečnost. Vím, jak anonymizovat data a jak bezpečně pracovat s firemním know-how."
11. Osobní & Specifické,Angličtina pro IT,Pokročilý,"Denně čtu technickou dokumentaci, sleduji zahraniční trendy a komunikuji s nástroji v angličtině."
11. Osobní & Specifické,Vášeň pro technologie,Expert,"IT není jen moje práce, je to mé hobby. Ve volném čase programuji, testuji AI modely a vzdělávám se, což přináší firmě náskok před konkurencí."
11. Osobní & Specifické,Vzdálená spolupráce (Remote),Pokročilý,Jsem zvyklý pracovat samostatně i v distribuovaném týmu. Umím využívat nástroje pro online kolaboraci a udržet produktivitu i na home office.
11. Osobní & Specifické,Odvaha inovovat,Expert,"Nebojím se jít do projektů, které ostatní považují za ""nemožné"" (např. konfigurátor střech v době před AI). Mám odvahu hledat nové cesty."
12. Business Intelligence & Finance,Modelování marží a cenotvorby,Senior,"Chápu hlubokou ekonomiku e-shopu. Na příkladu střešních krytin jsem prokázal, že rozumím rozdílu mezi obratem a marží a dokážu nastavit systémy tak, aby maximalizovaly zisk, ne jen tržby."
12. Business Intelligence & Finance,Řízení nákladů na IT (Cost Management),Senior,"Dokázal jsem optimalizovat náklady při přechodu z vlastních serverů na cloudová řešení. Vím, kdy se vyplatí SaaS a kdy vlastní vývoj."
13. Vzdělávání & Dokumentace,Tvorba znalostní báze (Knowledge Base),Senior,"Při odchodu z firmy jsem vytvořil komplexní systém zaškolení pro mého nástupce. Umím sepsat procesy tak, aby byly pochopitelné a firma nebyla závislá jen na mé hlavě."
13. Vzdělávání & Dokumentace,Interní komunikace a evangelizace,Senior,Pravidelně jsem prezentoval výsledky e-commerce oddělení na celofiremních setkáních. Dokážu nadchnout kolegy z jiných oddělení pro nové technologie a ukázat jim jejich přínos.
13. Vzdělávání & Dokumentace,Tvorba výukových materiálů pro B2B,Pokročilý,"Pro aplikaci ColMACHR jsem musel vytvořit systém, jak naučit řemeslníky (net-technické typy) používat digitální nástroj. Mám trpělivost a umím vysvětlovat."
14. Specifické nástroje (Niche),Google Vertex AI & Cloud Console,Pokročilý,"Mám praktickou zkušenost s nastavováním prostředí v Google Cloud, konkrétně pro využití AI modelů. Nejde jen o chatování, ale o integraci do infrastruktury."
14. Specifické nástroje (Niche),"Projektové nástroje (Clickup, Jura, Treelo, notion, Obsidian)",Pokročilý,"Aktivně využívám moderní nástroje pro řízení úkolů a myšlenkových map (Taskade). Umím nastavit efektivní workflow pro tým, aby se neztrácely úkoly."
14. Specifické nástroje (Niche),Pokročilá pravidla (Mergado),Expert,"V Mergadu jsem strávil stovky hodin. Umím psát regulární výrazy pro úpravu feedů, párovat produkty a nastavovat biddingové strategie."
14. Specifické nástroje (Niche),CMS (Admin & Content),Pokročilý,"Znám prostředí webu z pohledu administrátora a content managera. Vím, jak fungují jeho moduly, workflow a správa uživatelů u všětšiny CMS."
15. Design & Kreativita,Technický design a vizualizace,Střední,"Díky vzdělání v oboru designu/technologie (kožařská škola) mám cit pro detail. Chápu, že technologie musí být nejen funkční, ale i estetická a použitelná (UX)."
15. Design & Kreativita,Abstraktní myšlení (Data Visualization),Expert,"„JSON kód vidím jako tabulku.“ Mám schopnost vizualizovat si abstraktní datové struktury v hlavě, což mi umožňuje rychleji navrhovat databázové modely a integrace."
16. Psychologie & Firemní kultura,Budování loajality (Brand Ambassadorship),Expert,"„Já jsem byl ten hotel.“ Mám silný smysl pro loajalitu. Když pracuji pro firmu, stávám se jejím ambasadorem a dýchám pro značku. To hledám i v Ovečkárně."
16. Psychologie & Firemní kultura,Evoluční přístup ke změnám,Expert,"Mám cit pro to, kolik změn firma snese. Dokážu zavádět novinky tak, aby to nerozložilo stávající fungující tým a procesy."
16. Psychologie & Firemní kultura,Pokora a „Hands-on“ přístup,Expert,"I jako manažer se nebojím „vyhrnout si rukávy“ (viz zkušenost ze stavby hotelu/skladu). Tým mě respektuje, protože ví, že rozumím jejich práci a nebojím se ji dělat."
17. Infrastruktura & Hardware,Přechod On-Premise na Cloud,Senior,"Řídil jsem projekt zrušení fyzické serverovny a přechodu na Microsoft 365 / Cloud. Řešil jsem bezpečnost, zálohování i změnu myšlení uživatelů."
17. Infrastruktura & Hardware,Správa HW vybavení týmu,Pokročilý,"Vím, co tým potřebuje k práci. Dokážu specifikovat požadavky na hardware pro grafiky, vývojáře i skladníky, aby je technika nebrzdila."
19. Obchod & Zákazník,Obchodní procesy,Senior,"Chápu specifika B2B prodeje (individuální ceníky, splatnosti, fakturace). Tyto procesy jsem úspěšně digitalizoval do aplikace ColMACHR."
19. Obchod & Zákazník,Prozákaznický přístup (Hospitality),Expert,"Z hotelnictví jsem si přinesl absolutní zaměření na hosta/zákazníka. V IT to aplikuji tak, že systémy nesmí zákazníka obtěžovat, ale sloužit mu."
20. Osobní efektivita,Self-learning (Autodidakt),Expert,"Vše od HTML po AI agenty jsem se naučil sám z vlastního zájmu. Jsem živým důkazem, že pro mě neexistuje bariéra „to neumím“, ale jen „to se doučím“."
20. Osobní efektivita,Time Management & Prioritizace,Senior,"Zvládal jsem řídit e-shop, vyvíjet aplikace a vést tým současně. Umím si určit priority (Eisenhowerova matice) a delegovat, co je třeba."
20. Osobní efektivita,Analytické řešení problémů,Expert,"„Potřebuji ke všemu data, intuice je fajn, ale data jsou data.“ Svá rozhodnutí nepodřizuji dojmům, ale tvrdým číslům a analýzám."
20. Osobní efektivita,Odvaha k rozhodnutí,Senior,"Umím udělat rozhodnutí i v nejistotě (např. spuštění konfigurátoru, když všichni říkali, že to nejde). Přebírám plnou zodpovědnost za výsledky."