Kategorie,Název,Popis,K použití na,
E-commerce & Marketing,Kentico,Přední česká platforma pro řízení digitálních zážitků (DXP) a CMS.,"Správa obsahu e-shopu, řízení redakčního systému a webových prezentací.",Nástroj denní potřeby
E-commerce & Marketing,Mergado,Platforma pro hromadnou správu inzerce na srovnávačích zboží a v PPC.,"Optimalizace produktových feedů (XML), párování produktů a biddingové strategie.",
E-commerce & Marketing,Smartemailing,"Český nástroj pro e-mail marketing, automatizaci a správu kontaktů.","Tvorba newsletterů, transakčních e-mailů a automatizovaných retenčních kampaní.",
E-commerce & Marketing,Stripe,Platební platforma a API pro přijímání a zpracování online plateb.,"Integrace platební brány, správa předplatného a řešení mezinárodních transakcí.",
E-commerce & Marketing,"Shopify, Hostinger, Weebly, etc.",CMS systémy,"Pro tvorbu jednoduchých webových stránek (jako je tato) používám přímo kód, ale historicky jsem pracoval snad ve všech známých CMS. Minimálně jsem je alespoň testoval.",
ERP & Business Systems,Business Central,Cloudový ERP systém od Microsoftu (nástupce Navision) pro komplexní řízení firmy.,"Řízení financí, skladů, logistiky a propojení dat s e-shopem.",
ERP & Business Systems,Navision,Robustní on-premise ERP systém (předchůdce Business Central).,"Správa historických dat, účetnictví a legacy procesů ve větších firmách.",
ERP & Business Systems,Odoo,Modulární open-source ERP a CRM systém pokrývající všechny firemní potřeby.,"Rychlé nasazení specifických firemních modulů (sklad, fakturace) za nízké náklady.",
Zákaznická péče (Care),Daktela,"Komplexní cloudové řešení pro kontaktní centra (Voice, Email, Chat).","Řízení zákaznické linky, ticketing a omnichannel komunikace se zákazníky.",
Zákaznická péče (Care),Smartsupp,Live chat a chatbot nástroj pro e-shopy určený pro komunikaci v reálném čase.,Zvyšování konverzí pomocí okamžité podpory a automatizovaných chatových zpráv.,
Data & Analytika,GA4 (Google Analytics),Analytický nástroj zaměřený na sledování událostí napříč webem a aplikacemi.,"Vyhodnocování návštěvnosti, chování uživatelů a měření konverzních cílů.",
Data & Analytika,Hotjar,"Sada nástrojů pro analýzu UX (nahrávání relací, heatmapy).","Odhalování chyb v použitelnosti webu a pochopení, kam uživatelé klikají.",
Data & Analytika,Microsoft BI (Power BI),Nástroj pro vizualizaci dat a Business Intelligence.,Tvorba interaktivních manažerských reportů a dashboardů z různých zdrojů dat.,
Data & Analytika,Excel,Pokročilý tabulkový procesor pro výpočty a analýzu dat.,"Hloubková analýza dat, kontingenční tabulky, finanční modelování a čištění dat.",
Data & Analytika,Google Sheets,Cloudový tabulkový editor s možností skriptování a sdílení.,"Sdílené týmové tabulky, jednoduché databáze a napojení na externí API.",
AI & Machine Learning,Vertex AI,Platforma Google Cloud pro trénování a nasazování ML modelů.,Vývoj a správa vlastních AI modelů a jejich integrace do firemní infrastruktury.,
AI & Machine Learning,AI Studio,Vývojové prostředí pro rychlé prototypování generativní AI.,Testování promptů a rychlé nasazení AI funkcí do aplikací.,
AI & Machine Learning,Gemini / Gemini CLI,Rodina multimodálních modelů od Google a jejich příkazová řádka.,Pokročilá analýza textu/obrazu a automatizace úloh přes terminál.,
AI & Machine Learning,Notebook LM,AI nástroj pro syntézu informací z vložených dokumentů (RAG).,"Rychlé studium dokumentace, tvorba souhrnů a ""rozhovorů"" s vlastními daty.",
AI & Machine Learning,Cursor,AI-first code editor (fork VS Code) s integrovanou umělou inteligencí.,Extrémně rychlé psaní a refaktorování kódu s pomocí AI asistenta.,
Automatizace & Low-Code,Power Automate,Nástroj pro automatizaci workflow v ekosystému Microsoft.,"Automatizace schvalovacích procesů, notifikací a přenosu dat mezi MS aplikacemi.",
Automatizace & Low-Code,N8N,"Workflow automation tool (uzlový editor), ideální pro self-hosted řešení.",Tvorba složitých integračních scénářů a automatizací bez nutnosti posílat data třetím stranám.,
Automatizace & Low-Code,Zapier,Populární nástroj pro propojování webových aplikací.,"Rychlé propojení systémů, které nemají nativní integraci, bez znalosti programování.",
Automatizace & Low-Code,Power Apps,Platforma pro rychlý vývoj podnikových aplikací (low-code).,Tvorba interních aplikací (např. pro skladníky nebo obchodníky) na míru.,
Automatizace & Low-Code,Google AppSheet,No-code platforma pro tvorbu aplikací z dat v Google Sheets.,Rychlá digitalizace papírových procesů a tvorba mobilních appek pro sběr dat.,
Automatizace & Low-Code,Google Script (GAS),Skriptovací jazyk založený na JavaScriptu pro Google Workspace.,Automatizace úloh v Google Sheets/Docs a tvorba vlastních funkcí a maker.,
Vývoj & Infrastruktura,Azure,"Cloudová platforma od Microsoftu (výpočetní výkon, databáze).","Hostování firemní infrastruktury, správa identit (Entra ID) a SQL databází.",
Vývoj & Infrastruktura,Google Cloud (GCP),Sada cloudových služeb pro výpočetní techniku a data.,"Provozování AI modelů, BigQuery datových skladů a serverless aplikací.",
Vývoj & Infrastruktura,AWS,Amazon Web Services – nejrozšířenější cloudová platforma.,"Škálovatelný hosting, úložiště (S3) a pokročilé cloudové služby.",
Vývoj & Infrastruktura,Github,Služba pro verzování kódu (Git) a CI/CD.,"Správa repozitářů, spolupráce na kódu a verzování projektů.",
Vývoj & Infrastruktura,Docker,Platforma pro kontejnerizaci aplikací.,"Zajištění konzistentního běhu aplikací (např. N8N, databáze) kdekoliv.",
Vývoj & Infrastruktura,VS Studio (Code),Standardní vývojové prostředí (IDE).,"Psaní a ladění kódu, práce s rozšířeními pro různé jazyky.",
Vývoj & Infrastruktura,Cloudflare,"CDN, DNS a zabezpečení webových aplikací.","Zrychlení načítání webu, ochrana před DDoS útoky a správa DNS záznamů.",
Vývoj & Infrastruktura,Vercel,Cloudová platforma pro frontend vývojáře (serverless).,Rychlé nasazení statických webů a frontendových aplikací (Next.js).,
Vývoj & Infrastruktura,Hostinger,"Poskytovatel hostingu, VPS a domén.","Správa webhostingu, levné VPS pro testovací projekty a registrace domén.",
Vývoj & Infrastruktura,Supabase,Open-source alternativa k Firebase (Backend-as-a-Service).,Rychlé vytvoření backendu s databází a autentifikací pro vlastní aplikace.,
Vývoj & Infrastruktura,Firebase,Vývojová platforma od Google pro webové a mobilní aplikace.,"Hosting, real-time databáze a autentifikace uživatelů.",
Vývoj & Infrastruktura,MongoDB,NoSQL databázový program.,"Ukládání nestrukturovaných dat, flexibilní databáze pro moderní aplikace.",
Produktivita & Spolupráce,MS 365,"Sada cloudových služeb (Office, Teams, OneDrive).","Firemní komunikace, sdílení dokumentů a kancelářská práce.",
Produktivita & Spolupráce,Google Workspace,"Sada nástrojů (Gmail, Docs, Drive, Meet).","Kolaborace v reálném čase, firemní e-mail a sdílené úložiště.",
Produktivita & Spolupráce,ClickUp,Komplexní nástroj pro projektový management.,"Řízení projektů, sprintů, roadmap a sledování stavu úkolů.",
Produktivita & Spolupráce,Taskade,"Nástroj pro týmovou spolupráci, AI agenty a myšlenkové mapy.","Organizace myšlenek, týmový chat a strukturování projektů pomocí AI.",
Design & Kreativa,Figma,Nástroj pro návrh uživatelského rozhraní (UI/UX).,"Prototypování aplikací, tvorba wireframů a předávání podkladů vývojářům.",
Design & Kreativa,Canva,Online grafický nástroj pro netechnické uživatele.,"Rychlá tvorba grafiky pro sociální sítě, prezentace a marketingové materiály.",